Household_UUID,region_zone_woreda,Crop Name,Quantity (kg),Lon,Lat,Area (Normalized),Year
01010101601002,tigray_1_1,Sorghum,600.0,37.890876313,14.353816185,7794207.2578125,2011
01010101601002,tigray_1_1,Millet,200.0,37.890876313,14.353816185,90447.41015625,2011
01010101601002,tigray_1_1,Millet,200.0,37.890876313,14.353816185,10160259.07421875,2011
01010101601017,tigray_1_1,Millet,80.0,37.890876313,14.353816185,1999018.84765625,2011
01010101601017,tigray_1_1,Sorghum,600.0,37.890876313,14.353816185,8562354.828125,2011
01010101601101,tigray_1_1,Millet,100.0,37.890876313,14.353816185,2089466.2578125,2011
01010101601101,tigray_1_1,Sesame,100.0,37.890876313,14.353816185,486318.68359375,2011
01010101601101,tigray_1_1,Millet,200.0,37.890876313,14.353816185,6192370.515625,2011
01010101601116,tigray_1_1,Maize,8.0,37.890876313,14.353816185,150745.68359375,2011
01010101601116,tigray_1_1,Sesame,200.0,37.890876313,14.353816185,4198594.99609375,2011
01010101601146,tigray_1_1,Maize,10.0,37.890876313,14.353816185,321153.84765625,2011
01010201403001,tigray_1_2,Teff,170.0,38.210251919,14.2885896726,2543672.8408203125,2011
01010201403001,tigray_1_2,Millet,260.0,38.210251919,14.2885896726,9252339.73828125,2011
01010201403011,tigray_1_2,Lineseed,8.0,38.210251919,14.2885896726,214374.69409179688,2011
01010201403016,tigray_1_2,Maize,200.0,38.210251919,14.2885896726,8257929.392578125,2011
01010201403026,tigray_1_2,Teff,70.0,38.210251919,14.2885896726,1399740.6496582031,2011
01010201403046,tigray_1_2,Barley,10.0,38.210251919,14.2885896726,149521.84545898438,2011
01010201403046,tigray_1_2,Maize,250.0,38.210251919,14.2885896726,8789362.457763672,2011
01010201403046,tigray_1_2,Teff,200.0,38.210251919,14.2885896726,9582008.385498047,2011
01010201403061,tigray_1_2,Barley,30.0,38.210251919,14.2885896726,151323.3134765625,2011
01010201403061,tigray_1_2,Barley,24.0,38.210251919,14.2885896726,212573.22607421875,2011
01010201403061,tigray_1_2,Horse Beans,10.0,38.210251919,14.2885896726,216176.162109375,2011
01010201403106,tigray_1_2,Teff,100.0,38.210251919,14.2885896726,3538083.1865234375,2011
01010300106052,tigray_1_3,Maize,2.0,38.4738350524,14.1097608206,90073.40087890625,2011
01010300106136,tigray_1_3,Maize,7.0,38.4738350524,14.1097608206,333271.5832519531,2011
01010301804004,tigray_1_3,Maize,25.0,38.4803250395,13.8440840301,502609.5769042969,2011
01010301804004,tigray_1_3,Teff,17.0,38.4803250395,13.8440840301,497205.1728515625,2011
01010301804019,tigray_1_3,Teff,120.0,38.4803250395,13.8440840301,3986648.7229003906,2011
01010301804034,tigray_1_3,Haricot Beans,30.0,38.4803250395,13.8440840301,336874.5192871094,2011
01010301804034,tigray_1_3,Teff,100.0,38.4803250395,13.8440840301,2995841.313232422,2011
01010301804049,tigray_1_3,Millet,28.0,38.4803250395,13.8440840301,958380.9853515625,2011
01010301804069,tigray_1_3,Horse Beans,16.0,38.4803250395,13.8440840301,542241.8732910156,2011
01010301804085,tigray_1_3,Maize,75.0,38.4803250395,13.8440840301,2122129.3247070312,2011
01010301804115,tigray_1_3,Maize,10.0,38.4803250395,13.8440840301,225183.50219726562,2011
01010301804115,tigray_1_3,Millet,25.0,38.4803250395,13.8440840301,648528.486328125,2011
01010301804130,tigray_1_3,Maize,500.0,38.4803250395,13.8440840301,13170532.676513672,2011
01010301804130,tigray_1_3,Haricot Beans,40.0,38.4803250395,13.8440840301,311653.9670410156,2011
01010301804130,tigray_1_3,Teff,125.0,38.4803250395,13.8440840301,3480436.2099609375,2011
01010301804145,tigray_1_3,Horse Beans,12.0,38.4803250395,13.8440840301,131507.16528320312,2011
01010301804145,tigray_1_3,Sorghum,400.0,38.4803250395,13.8440840301,7418445.296386719,2011
01010500204001,tigray_1_5,Maize,20.0,37.9831865445,14.0862760222,121907.37890625,2011
01010500204025,tigray_1_5,Sorghum,250.0,37.9831865445,14.0862760222,2051452.12890625,2011
01010500204025,tigray_1_5,Sesame,15.0,37.9831865445,14.0862760222,1507456.8359375,2011
01010500204073,tigray_1_5,Maize,6.0,37.9831865445,14.0862760222,44568.2890625,2011
01010500204073,tigray_1_5,Sorghum,150.0,37.9831865445,14.0862760222,939866.56640625,2011
01010500204097,tigray_1_5,Millet,125.0,37.9831865445,14.0862760222,1371130.3046875,2011
01010500204121,tigray_1_5,Maize,150.0,37.9831865445,14.0862760222,802229.203125,2011
01010500204121,tigray_1_5,Sesame,125.0,37.9831865445,14.0862760222,2134034.546875,2011
01010500204193,tigray_1_5,Millet,150.0,37.9831865445,14.0862760222,1242668.765625,2011
01010500204217,tigray_1_5,Sorghum,800.0,37.9831865445,14.0862760222,5615604.421875,2011
01010600402021,tigray_1_6,Sorghum,2600.0,38.1191822345,13.642517176,7640839.91015625,2011
01010600402021,tigray_1_6,Sesame,100.0,38.1191822345,13.642517176,2160251.1875,2011
01010600402021,tigray_1_6,Teff,575.0,38.1191822345,13.642517176,3882684.4765625,2011
01010600402039,tigray_1_6,Maize,235.0,38.1191822345,13.642517176,1143045.53125,2011
01010600402039,tigray_1_6,Teff,300.0,38.1191822345,13.642517176,1626742.55078125,2011
01010600402057,tigray_1_6,Sesame,10.0,38.1191822345,13.642517176,3545800.64453125,2011
01010600402057,tigray_1_6,Nueg,17.0,38.1191822345,13.642517176,3922009.4375,2011
01010600402075,tigray_1_6,Maize,300.0,38.1191822345,13.642517176,1622810.0546875,2011
01010600402112,tigray_1_6,Teff,370.0,38.1191822345,13.642517176,1717189.9609375,2011
01010600402112,tigray_1_6,Nueg,6.0,38.1191822345,13.642517176,301491.3671875,2011
01010600402148,tigray_1_6,Millet,1190.0,38.1191822345,13.642517176,3350486.671875,2011
01020100207002,tigray_2_1,Teff,14.0,38.5730157222,14.2834679193,,2011
01020100207002,tigray_2_1,Millet,620.0,38.5730157222,14.2834679193,,2011
01020100207012,tigray_2_1,Maize,15.0,38.5730157222,14.2834679193,6469.48779296875,2011
01020100207012,tigray_2_1,Sorghum,25.0,38.5730157222,14.2834679193,336413.365234375,2011
01020100207017,tigray_2_1,Teff,56.0,38.5730157222,14.2834679193,,2011
01020100207027,tigray_2_1,Barley,14.0,38.5730157222,14.2834679193,,2011
01020100207047,tigray_2_1,Maize,39.0,38.5730157222,14.2834679193,339648.1091308594,2011
